RBP	Cell_line	eCLIP_exp	Control_exp
FAM120A			K562		ENCSR006OEQ	ENCSR811FFO
FASTKD2			K562		ENCSR887FHF	ENCSR119AFY
FMR1			K562		ENCSR331VNX	ENCSR735MBZ
FTO			K562		ENCSR989SMC	ENCSR575DKE
FXR1			K562		ENCSR774RFN	ENCSR562BJW
FXR2			K562		ENCSR224QWC	ENCSR411IMJ
GEMIN5			K562		ENCSR238CLX	ENCSR347MVO
GNL3			K562		ENCSR301UQM	ENCSR977GTT
GPKOW			K562		ENCSR647CLF	ENCSR393STP
GTF2F1			K562		ENCSR736AAG	ENCSR157BRV
HLTF			K562		ENCSR589YHM	ENCSR502NKG
HNRNPA1			K562		ENCSR154HRN	ENCSR898ZCL
HNRNPK			K562		ENCSR268ETU	ENCSR669DKA
HNRNPL			K562		ENCSR795CAI	ENCSR299AAB
HNRNPM			K562		ENCSR412NOW	ENCSR212ILN
HNRNPU			K562		ENCSR520BZQ	ENCSR829SLO
HNRNPUL1		K562		ENCSR571VHI	ENCSR482AWB
IGF2BP1			K562		ENCSR975KIR	ENCSR125CLF
IGF2BP2			K562		ENCSR062NNB	ENCSR387RGT
ILF3			K562		ENCSR438KWZ	ENCSR760SFB
KHDRBS1			K562		ENCSR628IDK	ENCSR197NFH
KHSRP			K562		ENCSR438GZQ	ENCSR305IPT
LARP4			K562		ENCSR888YTT	ENCSR679NKE
LARP7			K562		ENCSR456KXI	ENCSR863ZGZ
LIN28B			K562		ENCSR970NKP	ENCSR399CBP
LSM11			K562		ENCSR022BVV	ENCSR952UOL
METAP2			K562		ENCSR303OQD	ENCSR750NTM
MTPAP			K562		ENCSR200DKE	ENCSR927XDB
NCBP2			K562		ENCSR484LTQ	ENCSR921SHJ
NFX1			K562		ENCSR276LGL	ENCSR821ESG
NOLC1			K562		ENCSR001VAC	ENCSR009CIV
NONO			K562		ENCSR861PAR	ENCSR487EUV
NPM1			K562		ENCSR867DSZ	ENCSR468ZQA
NSUN2			K562		ENCSR081JYH	ENCSR595PFU
POLR2G			K562		ENCSR359CFG	ENCSR585TQT
PPIL4			K562		ENCSR197INS	ENCSR346IHS
PRPF8			K562		ENCSR534YOI	ENCSR096SZE
PTBP1			K562		ENCSR981WKN	ENCSR445FZX
PUM2			K562		ENCSR661ICQ	ENCSR439GXW
PUS1			K562		ENCSR291XPT	ENCSR869TOB
QKI			K562		ENCSR366YOG	ENCSR615AAW
RBFOX2			K562		ENCSR756CKJ	ENCSR051IXX
RBM15			K562		ENCSR196INN	ENCSR454EER
RBM22			K562		ENCSR295OKT	ENCSR344EGD
RBM27			K562		ENCSR489RJI	ENCSR194AVW
RPS11			K562		ENCSR269AJF	ENCSR881RJL
RPS24			K562		ENCSR967IBA	ENCSR567ZND
RPS3			K562		ENCSR120EAR	ENCSR494JFR
RPS5			K562		ENCSR316SZJ	ENCSR486QAE
SAFB2			K562		ENCSR943MHU	ENCSR978JXM
SBDS			K562		ENCSR059CWF	ENCSR038TMA
SERBP1			K562		ENCSR121GQH	ENCSR752YLF
SF3B1			K562		ENCSR133QEA	ENCSR496UBM
SF3B4			K562		ENCSR267OLV	ENCSR305KNE
SLBP			K562		ENCSR483NOP	ENCSR950WBG
SLTM			K562		ENCSR000SSH	ENCSR820GBM
SMNDC1			K562		ENCSR658IQB	ENCSR631CJA
SND1			K562		ENCSR128VXC	ENCSR435EVK
SRSF1			K562		ENCSR432XUP	ENCSR925TYQ
SRSF7			K562		ENCSR468FSW	ENCSR145PHJ
TAF15			K562		ENCSR568DZW	ENCSR653CNZ
TARDBP			K562		ENCSR584TCR	ENCSR924OLO
TBRG4			K562		ENCSR506OTC	ENCSR512EZA
TIA1			K562		ENCSR057DWB	ENCSR356GCJ
TNRC6A			K562		ENCSR218NAB	ENCSR800LOQ
TRA2A			K562		ENCSR365NVO	ENCSR619RLC
TROVE2			K562		ENCSR539ZTS	ENCSR687GJH
U2AF1			K562		ENCSR862QCH	ENCSR482ZSE
U2AF2			K562		ENCSR893RAV	ENCSR871RTL
UCHL5			K562		ENCSR349KMG	ENCSR751CSY
UPF1			K562		ENCSR456ASB	ENCSR461LGW
XRCC6			K562		ENCSR258QKO	ENCSR687HHB
XRN2			K562		ENCSR657TZB	ENCSR170XQH
YBX3			K562		ENCSR529FKI	ENCSR660VTT
YWHAG			K562		ENCSR867ZVK	ENCSR812PBU
ZC3H11A			K562		ENCSR712IAG	ENCSR321GBR
ZNF622			K562		ENCSR657TZZ	ENCSR594RFP
ZRANB2			K562		ENCSR663NRA	ENCSR528HOM
