"pvalue" "qvalue" "lfdr" "pi0" "significant" "fdr.level"
1 1 1 1 0 0.05
0.0230835050652417 0.132783380792445 0.772996993537924 1 0 0.05
0.0333051030403944 0.179538142784322 1 1 0 0.05
0.222939171600084 0.794641532164243 1 1 0 0.05
3.7161337379977e-11 0.00100686143312287 1.93307547265545e-06 1 1 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1.24970317009673e-15 0.00100686143312287 1.93307547265545e-06 1 1 0.05
0.708286096914707 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.812176833451634 1 1 1 0 0.05
2.89069922843438e-19 0.00100686143312287 1.93307547265545e-06 1 1 0.05
0.953581717261224 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.000181413030938078 0.00211810732386193 0.0168005276072274 1 1 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.837121267913874 1 1 1 0 0.05
0.393939753039721 1 1 1 0 0.05
0.09979322535308 0.43062116810371 1 1 0 0.05
0.412514916656074 1 1 1 0 0.05
1 1 1 1 0 0.05
0.49020393972869 1 1 1 0 0.05
1 1 1 1 0 0.05
0.537210198569368 1 1 1 0 0.05
0.705785334467434 1 1 1 0 0.05
4.1338422308684e-06 0.00100686143312287 0.000576557256085113 1 1 0.05
0.580834647475321 1 1 1 0 0.05
1 1 1 1 0 0.05
0.507678639272485 1 1 1 0 0.05
0.310117141829494 1 1 1 0 0.05
0.00387525153237727 0.0292218356509087 0.202553089299764 1 1 0.05
1 1 1 1 0 0.05
0.0644869934677556 0.304978950950235 1 1 0 0.05
1 1 1 1 0 0.05
2.25615587161408e-13 0.00100686143312287 1.93307547265545e-06 1 1 0.05
5.93732749207249e-06 0.00100686143312287 0.000809289590034863 1 1 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
2.61310455129815e-17 0.00100686143312287 1.93307547265545e-06 1 1 0.05
0.387020923230374 1 1 1 0 0.05
0.000353574415069117 0.00362272648901324 0.0293992576964062 1 1 0.05
1 1 1 1 0 0.05
1.01215359231258e-07 0.00100686143312287 1.64458841532593e-05 1 1 0.05
0.918570154291248 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.439885574345152 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.615506493519479 1 1 1 0 0.05
1 1 1 1 0 0.05
5.78325585845081e-17 0.00100686143312287 1.93307547265545e-06 1 1 0.05
1 1 1 1 0 0.05
0.383804295419786 1 1 1 0 0.05
0.788887326716319 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.492487741440052 1 1 1 0 0.05
0.821244200259181 1 1 1 0 0.05
0.0732163392690436 0.337665932383001 1 1 0 0.05
1 1 1 1 0 0.05
0.425117258147761 1 1 1 0 0.05
0.132163277501585 0.534311069506534 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.02530371539568 0.142986922549189 0.825841047439859 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.0348105377220289 0.185602249282448 1 1 0 0.05
0.23290409773031 0.820865507126762 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.0744543131394083 0.342097751328008 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.0750519914139728 0.343957941809854 1 1 0 0.05
0.232488242190269 0.820117765279317 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.578167793130957 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.432823091578103 1 1 1 0 0.05
1 1 1 1 0 0.05
0.109364808082159 0.462280839639542 1 1 0 0.05
0.249038879657722 0.864130886460536 1 1 0 0.05
0.00231624810412902 0.0186859532983353 0.135288706166605 1 1 0.05
0.989189358924676 1 1 1 0 0.05
1 1 1 1 0 0.05
2.29817004425877e-09 0.00100686143312287 1.93307547265545e-06 1 1 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.768806580924757 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.16676019798589 0.636966028661784 1 1 0 0.05
1 1 1 1 0 0.05
0.787214164310086 1 1 1 0 0.05
1 1 1 1 0 0.05
8.75388047049522e-06 0.00100686143312287 0.00115993262125449 1 1 0.05
0.210593611467194 0.761502397305923 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.332551196395806 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.000846871836272768 0.00778231099063517 0.0603258586231181 1 1 0.05
0.0822010830057061 0.369858282188246 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.00676603370244095 0.0471653951623912 0.311003941516069 1 1 0.05
2.19979654323248e-10 0.00100686143312287 1.93307547265545e-06 1 1 0.05
1 1 1 1 0 0.05
0.501885918657656 1 1 1 0 0.05
1 1 1 1 0 0.05
0.652888471802247 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.751209158812103 1 1 1 0 0.05
0.00398411231142742 0.0299162483852459 0.206960172310492 1 1 0.05
7.83878844617897e-10 0.00100686143312287 1.93307547265545e-06 1 1 0.05
5.26296958828014e-06 0.00100686143312287 0.000723132348751048 1 1 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.182819274454102 0.68334822632972 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.283684097926992 0.954372277476933 1 1 0 0.05
1 1 1 1 0 0.05
0.0040503335329195 0.0303480793670225 0.209625787654405 1 1 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1.72838755846137e-06 0.00100686143312287 0.000251888821852065 1 1 0.05
1 1 1 1 0 0.05
0.928069624764748 1 1 1 0 0.05
1 1 1 1 0 0.05
0.0236881991932107 0.135575882298683 0.787548461234525 1 0 0.05
0.00105851694631432 0.00944604322286779 0.0722978929565844 1 1 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.000291931643504521 0.00309368276153241 0.02505958013236 1 1 0.05
5.48632377685953e-07 0.00100686143312287 8.34374422006706e-05 1 1 0.05
1 1 1 1 0 0.05
0.000763705674056599 0.00713654754003402 0.0554518465287147 1 1 0.05
1 1 1 1 0 0.05
0.0153862424568268 0.094640128889616 0.575218117006795 1 0 0.05
1 1 1 1 0 0.05
0.0851049495484467 0.380225358564988 1 1 0 0.05
0.00177530150834241 0.0148750993814931 0.109529442390127 1 1 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.494323032736819 1 1 1 0 0.05
0.0196965885178319 0.116210596128362 0.689066016321002 1 0 0.05
0.27287334108994 0.925958278980742 1 1 0 0.05
1 1 1 1 0 0.05
0.00107879682815633 0.0095920077388439 0.0734163273277287 1 1 0.05
1 1 1 1 0 0.05
8.9397414157839e-07 0.00100686143312287 0.000133669453887353 1 1 0.05
1 1 1 1 0 0.05
2.8754138866317e-07 0.00100686143312287 4.47243066479589e-05 1 1 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.00154005622195777 0.0131241355399924 0.0977694178005909 1 1 0.05
0.00192412397124299 0.0158898591740412 0.116781175603137 1 1 0.05
3.4719770907222e-46 0.00100686143312287 1.93307547265545e-06 1 1 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.585706783435777 1 1 1 0 0.05
1 1 1 1 0 0.05
0.614660687792522 1 1 1 0 0.05
7.00463580019807e-11 0.00100686143312287 1.93307547265545e-06 1 1 0.05
0.0249229174171808 0.141382514563753 0.816889180686562 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.00447226358844739 0.0331017610184115 0.226353040146045 1 1 0.05
0.045233502316319 0.229367860450469 1 1 0 0.05
0.686164263830773 1 1 1 0 0.05
1 1 1 1 0 0.05
0.328191333220427 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.432062397275156 1 1 1 0 0.05
2.70515993844012e-05 0.00104230351208294 0.00322583475600517 1 1 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.0342468404708683 0.183327368095805 1 1 0 0.05
1 1 1 1 0 0.05
0.00189985970217911 0.0157380534875052 0.115608058479007 1 1 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.422583323690985 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.770728149075579 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.000511926912926537 0.0050156720632861 0.0399416617899394 1 1 0.05
0.555097390542434 1 1 1 0 0.05
1 1 1 1 0 0.05
0.91805488927719 1 1 1 0 0.05
1 1 1 1 0 0.05
0.795245111716635 1 1 1 0 0.05
0.79510534474019 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.117672929361618 0.489663350951637 1 1 0 0.05
3.2489239509838e-21 0.00100686143312287 1.93307547265545e-06 1 1 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
4.63266033935241e-08 0.00100686143312287 7.86820606736693e-06 1 1 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.000250865298036485 0.0027417215635124 0.0220726780152879 1 1 0.05
1 1 1 1 0 0.05
0.0196272671004733 0.115886776767561 0.687301783084955 1 0 0.05
1 1 1 1 0 0.05
0.00176598666565915 0.0148202561058575 0.109070939500209 1 1 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.0824014551161314 0.370368343878134 1 1 0 0.05
0.685583991456647 1 1 1 0 0.05
1 1 1 1 0 0.05
4.74552693061236e-07 0.00100686143312287 7.25296125246614e-05 1 1 0.05
0.000473889491039464 0.00467255655878033 0.0374765571052802 1 1 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.000687907654654316 0.00653095528536313 0.0509118358652807 1 1 0.05
1 1 1 1 0 0.05
0.00230434237095455 0.0186030634474888 0.134738417908352 1 1 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.0970331699537054 0.420905298685973 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.0687873969734504 0.320648336530712 1 1 0 0.05
0.767922847877777 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.629254570914118 1 1 1 0 0.05
0.0370544297847874 0.194784484533391 1 1 0 0.05
1 1 1 1 0 0.05
0.655783149670514 1 1 1 0 0.05
0.15894603243045 0.613562834015275 1 1 0 0.05
1 1 1 1 0 0.05
0.3556742977612 1 1 1 0 0.05
0.791129699672753 1 1 1 0 0.05
0.0644227661268343 0.304870343150635 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.000580758402148593 0.00561368200458791 0.0443117186309827 1 1 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.170203098416866 0.647010801855112 1 1 0 0.05
1 1 1 1 0 0.05
0.150017954399055 0.588272652643487 1 1 0 0.05
1 1 1 1 0 0.05
0.741484444195656 1 1 1 0 0.05
0.535011746326274 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.282244540295085 0.951099619473754 1 1 0 0.05
0.776851008337767 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.000159160324971356 0.0019440796752938 0.0150383215910533 1 1 0.05
1 1 1 1 0 0.05
0.0189180852587726 0.112736058182752 0.669137221910015 1 0 0.05
0.00249017461836521 0.01978093187691 0.143251974025336 1 1 0.05
0.0637117096776461 0.302343419203349 1 1 0 0.05
2.6877977228434e-07 0.00100686143312287 4.19092011279199e-05 1 1 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.00292636693163645 0.0227505543440637 0.162653963478322 1 1 0.05
1 1 1 1 0 0.05
0.756490808356232 1 1 1 0 0.05
1.59671239064655e-15 0.00100686143312287 1.93307547265545e-06 1 1 0.05
1 1 1 1 0 0.05
0.332865716742422 1 1 1 0 0.05
1 1 1 1 0 0.05
0.445869108963398 1 1 1 0 0.05
1 1 1 1 0 0.05
3.69298708792984e-05 0.00109008175523599 0.00425138492159717 1 1 0.05
0.683749491529166 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.00100096541097328 0.00899748061658149 0.0690981145901579 1 1 0.05
0.00336915582759981 0.0257686649148582 0.18162607701079 1 1 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
8.24972550673384e-06 0.00100686143312287 0.00109814476249989 1 1 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
5.33555656899958e-06 0.00100686143312287 0.000732453014833334 1 1 0.05
0.670987053241097 1 1 1 0 0.05
0.00296828154734648 0.0230317989178832 0.164479214479575 1 1 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
4.4726031520088e-05 0.00113214365704259 0.00503209612383018 1 1 0.05
0.0494189641626792 0.247002506434512 1 1 0 0.05
0.105073546181289 0.448034717236234 1 1 0 0.05
1 1 1 1 0 0.05
4.63420915976246e-11 0.00100686143312287 1.93307547265545e-06 1 1 0.05
1 1 1 1 0 0.05
0.90049772949021 1 1 1 0 0.05
1 1 1 1 0 0.05
0.708127125651372 1 1 1 0 0.05
1 1 1 1 0 0.05
0.963297338736785 1 1 1 0 0.05
1 1 1 1 0 0.05
1.1085815393591e-12 0.00100686143312287 1.93307547265545e-06 1 1 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.00436599665931228 0.0324799399298421 0.222180545459574 1 1 0.05
2.92223132578921e-08 0.00100686143312287 5.12684558668193e-06 1 1 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
5.00184177297305e-06 0.00100686143312287 0.000689504213342114 1 1 0.05
1 1 1 1 0 0.05
0.442719441728401 1 1 1 0 0.05
3.94539374611446e-19 0.00100686143312287 1.93307547265545e-06 1 1 0.05
1 1 1 1 0 0.05
0.595600633508001 1 1 1 0 0.05
5.40794887122442e-20 0.00100686143312287 1.93307547265545e-06 1 1 0.05
1 1 1 1 0 0.05
0.0621648937715893 0.297110808159897 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.780491286690248 1 1 1 0 0.05
0.598534956172733 1 1 1 0 0.05
1 1 1 1 0 0.05
0.8988406208583 1 1 1 0 0.05
1 1 1 1 0 0.05
6.2514371116351e-05 0.00124066828258269 0.00674179734049733 1 1 0.05
0.00010310373149166 0.0015055910183509 0.0103846320554865 1 1 0.05
1 1 1 1 0 0.05
0.769212173985838 1 1 1 0 0.05
1 1 1 1 0 0.05
0.0316126695024762 0.172037219048391 0.968238311389778 1 0 0.05
0.271303927896225 0.923093241931733 1 1 0 0.05
1 1 1 1 0 0.05
0.153111428547309 0.596799444519131 1 1 0 0.05
1.2299332054969e-11 0.00100686143312287 1.93307547265545e-06 1 1 0.05
8.17082848738296e-05 0.00135697345486946 0.00850151289417319 1 1 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
8.66133224299165e-10 0.00100686143312287 1.93307547265545e-06 1 1 0.05
0.243911599046142 0.85014259902014 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.00621453362968199 0.0438541199520504 0.291479561792263 1 1 0.05
0.0263189757420119 0.147773474737809 0.849493542748624 1 0 0.05
5.30781207927726e-19 0.00100686143312287 1.93307547265545e-06 1 1 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.000601289188844617 0.00577720817671514 0.0455944361504386 1 1 0.05
0.529747377914503 1 1 1 0 0.05
0.00323822461010855 0.0249096587880607 0.176085129599029 1 1 0.05
1 1 1 1 0 0.05
0.000452898788919981 0.00448575180340167 0.036099459697915 1 1 0.05
1 1 1 1 0 0.05
9.06161879767169e-05 0.00142154558776814 0.00929444474572942 1 1 0.05
3.19689700296107e-07 0.00100686143312287 4.95358003619586e-05 1 1 0.05
0.0399268373523774 0.20763604986793 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.724335785027989 1 1 1 0 0.05
0.245117069182987 0.853417789777418 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.00132207104953353 0.0115288042595813 0.0864998962802961 1 1 0.05
1 1 1 1 0 0.05
0.000418410174190358 0.00418238987515925 0.033809010028529 1 1 0.05
0.022425235866793 0.12964160482733 0.757014306261866 1 0 0.05
3.48204579553353e-05 0.00107837851880389 0.00403611341338907 1 1 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.0125115339231349 0.0797697242263735 0.49371892515184 1 0 0.05
1 1 1 1 0 0.05
0.000561316284550219 0.0054422205048888 0.043088503334268 1 1 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.0204708110387831 0.119941022049863 0.708637202098055 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.133978593356053 0.540425210486952 1 1 0 0.05
0.131693585980921 0.532949036888758 1 1 0 0.05
0.0342963107236254 0.183515712462885 1 1 0 0.05
0.984401504086234 1 1 1 0 0.05
0.00663431708423657 0.0463949052532852 0.306382237208745 1 1 0.05
0.638043414635431 1 1 1 0 0.05
0.426341942516991 1 1 1 0 0.05
1 1 1 1 0 0.05
0.0118431764281095 0.0763269186579164 0.473986268310198 1 0 0.05
0.0197253358869764 0.116252166916143 0.689797056290802 1 0 0.05
1 1 1 1 0 0.05
0.00276524448728323 0.0216552365848024 0.15557605969858 1 1 0.05
0.478002887393843 1 1 1 0 0.05
1 1 1 1 0 0.05
0.012751063695996 0.0809112950891382 0.500713041863945 1 0 0.05
0.1789505046516 0.67185954201983 1 1 0 0.05
1.76135167274899e-14 0.00100686143312287 1.93307547265545e-06 1 1 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.147760412026328 0.58155078565106 1 1 0 0.05
1 1 1 1 0 0.05
0.000699567882110139 0.00662987668417695 0.051616755967637 1 1 0.05
1 1 1 1 0 0.05
0.419607883103425 1 1 1 0 0.05
1 1 1 1 0 0.05
8.77456639700322e-05 0.00140314127694895 0.00904039688481498 1 1 0.05
0.000537866331369474 0.00524055703605726 0.0416016558497314 1 1 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.00018743592187607 0.00217241724162151 0.0172706655416925 1 1 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.353403739148717 1 1 1 0 0.05
0.00102603717841212 0.00919709771565055 0.0704968472334662 1 1 0.05
4.03377278063217e-12 0.00100686143312287 1.93307547265545e-06 1 1 0.05
1 1 1 1 0 0.05
0.0222084224224052 0.128635281103652 0.751716854239876 1 0 0.05
0.00027516713927884 0.00293787369620344 0.0238504110475712 1 1 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.0245154984774086 0.139317455772148 0.807261515198798 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.000267466241036395 0.00287346411156501 0.0232903700765653 1 1 0.05
0.0827520537697244 0.371238963207786 1 1 0 0.05
1.85307928943488e-05 0.00101859190521471 0.0022982371082899 1 1 0.05
0.444927503783787 1 1 1 0 0.05
0.415893911752703 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.653187331400212 1 1 1 0 0.05
1 1 1 1 0 0.05
0.773571973797816 1 1 1 0 0.05
0.0122308938644891 0.07841644173343 0.485472843594062 1 0 0.05
1 1 1 1 0 0.05
0.639952831573392 1 1 1 0 0.05
1 1 1 1 0 0.05
0.504898288847836 1 1 1 0 0.05
0.190307090791599 0.703636581199524 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.10726153136746 0.455308467629085 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.197336126592947 0.723791221458343 1 1 0 0.05
0.261520517052982 0.897104782215506 1 1 0 0.05
1 1 1 1 0 0.05
9.33243993213799e-07 0.00100686143312287 0.000139325312971154 1 1 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
5.73558911432973e-12 0.00100686143312287 1.93307547265545e-06 1 1 0.05
1 1 1 1 0 0.05
0.566660530248736 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
3.2489581256688e-14 0.00100686143312287 1.93307547265545e-06 1 1 0.05
1 1 1 1 0 0.05
0.000458650322298904 0.00453405350699824 0.036478023117595 1 1 0.05
0.209735665807428 0.758867788792528 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.0833157741482862 0.373096635474641 1 1 0 0.05
1 1 1 1 0 0.05
0.0256160816302948 0.144497742267306 0.833151091539595 1 0 0.05
0.246243980505182 0.856598236842944 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
0.608156044128132 1 1 1 0 0.05
1 1 1 1 0 0.05
0.657968839048523 1 1 1 0 0.05
1 1 1 1 0 0.05
1 1 1 1 0 0.05
